FECHA;T. Máxima;T.Mínima
27/10/2020;16.2;1.6
28/10/2020;15.6;6.9
29/10/2020;18.7;7.3
30/10/2020;22.5;3.2
31/10/2020;23.8;4.1
01/11/2020;22.9;5.7
02/11/2020;21.4;7.1
03/11/2020;18.6;10.3
04/11/2020;11.9;8.6
05/11/2020;15.3;9.5
06/11/2020;20.4;12.9
07/11/2020;17.0;7.5
08/11/2020;18.5;6.4
09/11/2020;17.5;7.8
10/11/2020;17.3;5.7
11/11/2020;18.0;4.2
12/11/2020;17.7;5.5
13/11/2020;18.1;5.6
14/11/2020;14.6;9.1
15/11/2020;18.9;11.0
16/11/2020;0.0;0.0
17/11/2020;14.9;6.1
18/11/2020;13.1;8.2
19/11/2020;19.9;6.4
20/11/2020;19.2;3.0
21/11/2020;17.3;0.9
22/11/2020;16.0;-0.6
23/11/2020;16.7;-1.4
24/11/2020;15.3;0.2
25/11/2020;15.9;2.1
26/11/2020;14.5;9.7
27/11/2020;11.5;5.4
28/11/2020;11.7;5.6
29/11/2020;14.2;5.1
30/11/2020;16.1;2.8
01/12/2020;16.3;0.6
02/12/2020;12.0;-0.3
03/12/2020;10.5;-4.4
04/12/2020;9.6;1.5
05/12/2020;8.4;-1.6
06/12/2020;10.1;-0.1
07/12/2020;12.7;6.8
08/12/2020;11.3;4.5
09/12/2020;10.9;-1.1
10/12/2020;13.9;6.1
11/12/2020;15.8;12.0
12/12/2020;15.4;5.2
13/12/2020;14.9;2.2
14/12/2020;15.4;7.2
15/12/2020;12.6;2.9
16/12/2020;13.5;3.6
17/12/2020;14.8;4.1
18/12/2020;9.1;2.5
19/12/2020;9.4;6.1
20/12/2020;10.5;2.5
21/12/2020;10.5;3.0
22/12/2020;9.7;7.0
23/12/2020;11.0;5.5
24/12/2020;12.0;5.6
25/12/2020;10.1;-2.5
26/12/2020;9.6;-4.9
27/12/2020;8.8;-4.3
28/12/2020;11.2;2.8
29/12/2020;9.7;-0.3
30/12/2020;9.8;-1.8
31/12/2020;8.8;-3.6
